No,actBeginTm,actEndTm,actPlace,adultPosblAt,gugunCd,nanmmbyNm,noticeBgnde,noticeEndde,progrmBgnde,progrmEndde,progrmRegistNo,progrmSj,progrmSttusSe,sidoCd,srvcClCode,url,yngbgsPosblAt,gugunNm,sidoNm
3436,14,18,경기도 광주시 고불로46번길 8   창대교회 1층 예꿈지역아동센터,Y,5540000,예꿈지역아동센터,20230831,20231130,20230901,20231130,3029152,"초등학교 저학년 아동 학업지원, 놀이지원, 기타업무지원",2,6410000,교육 > 학습지도 교육,https://1365.go.kr/vols/P9210/partcptn/timeCptn.do?type=show&progrmRegistNo=3029152,Y,광주시,경기도
3437,15,17,화성시아르딤복지관(향남읍 도이1길 104),Y,5530000,화성시아르딤복지관,20230821,20231124,20230905,20231128,3021039,화성시아르딤복지관 장애아동 미술프로그램 지원 자원봉사,3,6410000,교육 > 학습지도 교육,https://1365.go.kr/vols/P9210/partcptn/timeCptn.do?type=show&progrmRegistNo=3021039,N,화성시,경기도
3438,15,17,송화지역아동센터,Y,5530000,송화지역아동센터,20230829,20231130,20230905,20231205,3027888,지역아동센터 초등학생 학습지도 및 돌봄지도,2,6410000,교육 > 학습지도 교육,https://1365.go.kr/vols/P9210/partcptn/timeCptn.do?type=show&progrmRegistNo=3027888,N,화성시,경기도
3439,15,17,동탄어울림사회복지관 영천센터(경기도 화성시 동탄대로24가길 27),Y,5530000,동탄어울림사회복지관,20230905,20231201,20230912,20231212,3031080,[동탄어울림사회복지관] 초등학생 아동 대상 학습 멘토링(기초과목 학습지도),2,6410000,교육 > 학습지도 교육,https://1365.go.kr/vols/P9210/partcptn/timeCptn.do?type=show&progrmRegistNo=3031080,N,화성시,경기도
3440,9,21,경기도 화성시 영통로8번길 10-12 반월지역아동센터 ,Y,5530000,반월지역아동센터,20231001,20231231,20231001,20231231,3048643,반월지역아동센터 학습지도 봉사,3,6410000,교육 > 학습지도 교육,https://1365.go.kr/vols/P9210/partcptn/timeCptn.do?type=show&progrmRegistNo=3048643,N,화성시,경기도
3441,17,19,화성시시립봉담아동청소년센터(화성시어린이문화센터4층),Y,5530000,시립봉담아동청소년센터,20231109,20231229,20231109,20231229,3060030,화성시시립봉담아동청소년센터 중·고등학생 학습 지도 교육 자원봉사,2,6410000,교육 > 학습지도 교육,https://1365.go.kr/vols/P9210/partcptn/timeCptn.do?type=show&progrmRegistNo=3060030,N,화성시,경기도
3442,11,18,진교청소년문화의집 내외,Y,5440000,진교청소년문화의집,20230512,20231231,20231001,20231231,2981094,"진교청소년문화의집 - 아동청소년대면, 비대면 화상채팅 멘토링 학습지도/  / 특별활동봉사",2,6480000,교육 > 학습지도 교육,https://1365.go.kr/vols/P9210/partcptn/timeCptn.do?type=show&progrmRegistNo=2981094,Y,하동군,경상남도
3443,15,19,선한이웃지역아동센터,Y,5420000,선한이웃지역아동센터,20231024,20231201,20231024,20231229,3052614,선한이웃지역아동센터에서 아이들을 학습을 도와줄 자원봉사자를 모집합니다.,2,6480000,교육 > 학습지도 교육,https://1365.go.kr/vols/P9210/partcptn/timeCptn.do?type=show&progrmRegistNo=3052614,N,고성군,경상남도
3444,16,20, 행복한 지역아동센터 ,Y,5350000,행복한지역아동센터,20231103,20240103,20231103,20240103,3057807,행복한 지역아동센터 - 방과후 학습지원,2,6480000,교육 > 학습지도 교육,https://1365.go.kr/vols/P9210/partcptn/timeCptn.do?type=show&progrmRegistNo=3057807,Y,김해시,경상남도
3445,9,12,진주향교 예절관 및 명륜당 일원,Y,5310000,진주향교,20231121,20240220,20231121,20240220,3062826,교육 활동 보조 및 향교 행사보조,2,6480000,교육 > 학습지도 교육,https://1365.go.kr/vols/P9210/partcptn/timeCptn.do?type=show&progrmRegistNo=3062826,Y,진주시,경상남도
3446,15,18,경산시 와촌면 덕촌길 60,Y,5130000,경상북도 경산시,20230918,20231218,20230918,20231218,3034693,경산시립농촌보육정보센터 공부방 학습지도 및 보조활동 모집,2,6470000,교육 > 학습지도 교육,https://1365.go.kr/vols/P9210/partcptn/timeCptn.do?type=show&progrmRegistNo=3034693,N,경산시,경상북도
3447,13,17,경북 영천시 망정2길 7-4 화성빌딩 2층 큰사랑지역아동센터 ,Y,5100000,큰사랑지역아동센터,20230915,20231229,20231002,20231229,3036080,아동학습지도 및 놀이지도 ,2,6470000,교육 > 학습지도 교육,https://1365.go.kr/vols/P9210/partcptn/timeCptn.do?type=show&progrmRegistNo=3036080,Y,영천시,경상북도
3448,14,18,서문지역아동센터,Y,5100000,영천서문지역아동센터,20231016,20240116,20231016,20240116,3048408,아동학습지원 및 멘토링 봉사자를 구합니다....,2,6470000,교육 > 학습지도 교육,https://1365.go.kr/vols/P9210/partcptn/timeCptn.do?type=show&progrmRegistNo=3048408,N,영천시,경상북도
3449,9,18,"서울특별시 성동구 한림말길 16-5, 옥수종합사회복지관 3층(옥수복지관 아이꿈누리터)",Y,3030000,옥수복지관 아이꿈누리터,20230921,20231222,20230922,20231222,3039083,옥수복지관 아이꿈누리터 초등돌봄 방과후 활동보조,2,6110000,교육 > 방과후 교육,https://1365.go.kr/vols/P9210/partcptn/timeCptn.do?type=show&progrmRegistNo=3039083,N,성동구,서울특별시
3450,13,19,금호대우아이꿈누리터 센터내,Y,3030000,금호대우아이꿈누리터,20230927,20231130,20231004,20231130,3042106,초등돌봄센터에서 실내 놀이지도 및 돌봄업무 지원,2,6110000,교육 > 방과후 교육,https://1365.go.kr/vols/P9210/partcptn/timeCptn.do?type=show&progrmRegistNo=3042106,N,성동구,서울특별시
3451,13,18,우리동네키움센터 성동1호점(스위첸아이꿈누리터),Y,3030000,스위첸아이꿈누리터,20231116,20231124,20231116,20231231,3062696,아동 학습 지도 및 활동 보조,2,6110000,교육 > 방과후 교육,https://1365.go.kr/vols/P9210/partcptn/timeCptn.do?type=show&progrmRegistNo=3062696,Y,성동구,서울특별시
3452,14,19,송정동 공공복합청사 5층 [송정동 아이꿈누리터],Y,3030000,송정동아이꿈누리터,20231023,20231130,20231120,20240112,3051592,[송정동아이꿈누리터] '돌봄 및 학습지도' 대학생 봉사자 활동 모집,2,6110000,교육 > 방과후 교육,https://1365.go.kr/vols/P9210/partcptn/timeCptn.do?type=show&progrmRegistNo=3051592,N,성동구,서울특별시
3453,17,19,"서울특별시 중구 필동로 11(필동2가, 구립 경로당) 3층",Y,3010000,필동작은도서관,20230825,20231231,20231001,20231231,3026323,필동작은도서관 방과후 봉사자 학습지도,2,6110000,교육 > 방과후 교육,https://1365.go.kr/vols/P9210/partcptn/timeCptn.do?type=show&progrmRegistNo=3026323,N,중구,서울특별시
3454,13,19,키움센터,Y,3010000,중구5호점 신당5동센터,20230901,20231225,20231002,20231229,3028227,키움센터 교육봉사,2,6110000,교육 > 방과후 교육,https://1365.go.kr/vols/P9210/partcptn/timeCptn.do?type=show&progrmRegistNo=3028227,N,중구,서울특별시
3455,13,19,흥인초돌봄센터,Y,3010000,중구형 초등돌봄 흥인초센터,20231002,20231229,20231101,20240105,3030177,초등돌봄센터(학교돌봄터) 프로그램 보조교사,2,6110000,교육 > 방과후 교육,https://1365.go.kr/vols/P9210/partcptn/timeCptn.do?type=show&progrmRegistNo=3030177,N,중구,서울특별시
3456,13,19,흥인초돌봄센터,Y,3010000,중구형 초등돌봄 흥인초센터,20231002,20231229,20231101,20240105,3030181,초등돌봄센터(학교돌봄터) 학습지도 및 정서지원,2,6110000,교육 > 방과후 교육,https://1365.go.kr/vols/P9210/partcptn/timeCptn.do?type=show&progrmRegistNo=3030181,N,중구,서울특별시
